date,symbol,eps,epsestimated,time,revenue,revenueestimated,updatedfromdate,fiscaldateending,ticker,time_raw,is_amc,is_bmo
2005-10-18,MMM,1.1,1.08,bmo,5382000000.0,5284145454.0,2025-04-25,2005-09-30,MMM,bmo,False,True
2006-01-24,MMM,1.04,1.03,bmo,5325000000.0,5273798076.0,2025-04-25,2005-12-31,MMM,bmo,False,True
2006-04-21,MMM,1.17,1.14,bmo,5595000000.0,5451538461.0,2025-04-25,2006-03-31,MMM,bmo,False,True
2006-07-25,MMM,1.05,1.07,bmo,5688000000.0,5796342857.0,2025-04-25,2006-06-30,MMM,bmo,False,True
2006-10-20,MMM,1.17,1.12,bmo,5858000000.0,5607658119.0,2025-04-25,2006-09-30,MMM,bmo,False,True
2007-01-30,MMM,1.1,1.14,bmo,5782000000.0,5992254545.0,2025-04-25,2006-12-31,MMM,bmo,False,True
2007-04-26,MMM,1.28,1.12,bmo,5937000000.0,5194875000.0,2025-04-25,2007-03-31,MMM,bmo,False,True
2007-07-26,MMM,1.23,1.18,bmo,6142000000.0,5892325203.0,2025-04-25,2007-06-30,MMM,bmo,False,True
2007-10-19,MMM,1.29,1.28,bmo,6177000000.0,6129116279.0,2025-04-25,2007-09-30,MMM,bmo,False,True
2008-01-29,MMM,1.19,1.17,bmo,6206000000.0,6101697478.0,2025-04-25,2007-12-31,MMM,bmo,False,True
2008-04-24,MMM,1.38,1.35,bmo,6463000000.0,6322500000.0,2025-04-25,2008-03-31,MMM,bmo,False,True
2008-07-24,MMM,1.39,1.35,bmo,6739000000.0,6545071942.0,2025-04-25,2008-06-30,MMM,bmo,False,True
2008-10-21,MMM,1.42,1.38,bmo,6558000000.0,6373267605.0,2025-04-25,2008-09-30,MMM,bmo,False,True
2009-01-29,MMM,0.97,0.93,bmo,5509000000.0,5281824742.0,2025-04-25,2008-12-31,MMM,bmo,False,True
2009-04-24,MMM,0.81,0.86,bmo,5089000000.0,5403135802.0,2025-04-25,2009-03-31,MMM,bmo,False,True
2009-07-23,MMM,1.2,0.94,bmo,5719000000.0,4479883333.0,2025-04-25,2009-06-30,MMM,bmo,False,True
2009-10-22,MMM,1.37,1.17,bmo,6193000000.0,5288912408.0,2025-04-25,2009-09-30,MMM,bmo,False,True
2010-01-28,MMM,1.3,1.21,bmo,6122000000.0,5698169230.0,2025-04-25,2009-12-31,MMM,bmo,False,True
